i,id,rot,t,x,z
1276,0xa1,-0.4542364478111267,0.0,4263.7734375,761.6300659179688
1277,0xa1,-0.4542377293109894,0.0,4277.40478515625,761.6300659179688
1278,0xa1,-0.45423832535743713,0.0,4290.76806640625,761.6300659179688
1280,0xa1,-0.45423927903175354,0.0,4304.13134765625,761.6300659179688
1282,0xa1,-0.45424044132232666,0.0,4317.7626953125,761.6300659179688
1284,0xa1,-0.4542417526245117,0.0,4331.39404296875,761.6300659179688
1285,0xa1,-0.45424386858940125,0.0,4345.1572265625,761.6300659179688
1286,0xa1,-0.45424458384513855,0.0,4358.78857421875,761.6300659179688
1287,0xa1,-0.4542490243911743,0.0,4372.15185546875,761.6300659179688
1288,0xa1,-0.454243540763855,0.0,4385.51513671875,761.6300659179688
1289,0xa1,-0.4968271553516388,0.0,4398.66015625,761.6300659179688
1290,0xa1,-0.4968273937702179,0.0,4411.80908203125,761.6300659179688
1291,0xa1,-0.4968279004096985,0.0,4424.9580078125,761.6300659179688
1292,0xa1,-0.49682822823524475,0.0,4437.9755859375,761.6300659179688
1293,0xa1,-0.4968269169330597,0.0,4451.251953125,761.3790893554688
1294,0xa1,-0.496827095746994,0.0,4464.26953125,760.7977905273438
1295,0xa1,-0.49682530760765076,0.0,4477.5498046875,760.2047119140625
1297,0xa1,-0.4968249797821045,0.0,4490.826171875,759.6116333007812
1299,0xa1,-0.49682489037513733,0.0,4503.97509765625,759.0244140625
1301,0xa1,-0.4968253970146179,0.0,4516.99267578125,758.443115234375
1302,0xa1,-0.49682673811912537,0.0,4530.1416015625,757.85595703125
1303,0xa1,-0.4968276917934418,0.0,4543.41796875,757.2633666992188
1304,0xa1,-0.4968281388282776,0.0,4556.6982421875,756.6702880859375
1305,0xa1,-0.4968291223049164,0.0,4569.7158203125,756.0889892578125
15235,0xa1,0.976378858089447,0.0,2969.04296875,2050.43701171875
15237,0xa1,0.976378858089447,0.0,2965.67333984375,2050.43701171875
15239,0xa1,0.9763785004615784,0.0,2962.39990234375,2050.43701171875
15242,0xa1,0.976378858089447,0.0,2959.158447265625,2050.43701171875
15244,0xa1,0.976378858089447,0.0,2955.85302734375,2050.43701171875
15246,0xa1,0.976378858089447,0.0,2952.611572265625,2050.43701171875
15248,0xa1,0.9763787388801575,0.0,2949.30615234375,2065.829345703125
15250,0xa1,0.9763787388801575,0.0,2946.064697265625,2065.72998046875
15252,0xa1,0.9763787388801575,0.0,2942.791259765625,2065.62939453125
15254,0xa1,0.9763790965080261,0.0,2939.5498046875,2065.52978515625
15256,0xa1,0.9763790965080261,0.0,2936.244384765625,2065.42822265625
15258,0xa1,0.9763789772987366,0.0,2931.415283203125,2065.27978515625
15260,0xa1,0.9763789772987366,0.0,2928.141845703125,2065.179443359375
15263,0xa1,0.9763789176940918,0.0,2924.83642578125,2065.077880859375
15265,0xa1,0.9763792753219604,0.0,2921.53076171875,2064.976318359375
15267,0xa1,0.9763789176940918,0.0,2918.22509765625,2064.874755859375
15269,0xa1,0.9763789772987366,0.0,2914.919677734375,2064.771484375
15271,0xa1,0.9763792753219604,0.0,2911.67822265625,2064.671875
15273,0xa1,0.9763791561126709,0.0,2908.436767578125,2064.572509765625
15275,0xa1,0.9763791561126709,0.0,2905.131103515625,2064.470703125
15277,0xa1,0.9763792753219604,0.0,2901.825439453125,2064.369384765625
15279,0xa1,0.9831848740577698,0.0,2904.619384765625,2063.89453125
15281,0xa1,0.9831848740577698,0.0,2907.413330078125,2063.421142578125
15283,0xa1,0.7328585982322693,0.0,2897.31005859375,2063.81494140625
15285,0xa1,0.7328585982322693,0.0,2887.103759765625,2064.212646484375
15287,0xa1,0.8409129977226257,0.0,2878.906005859375,2064.451416015625
15289,0xa1,0.8409129977226257,0.0,2870.706298828125,2064.691650390625
15291,0xa1,0.9918773770332336,0.0,2873.56884765625,2064.067138671875
15293,0xa1,-0.8652781248092651,0.0,2881.239013671875,2063.86865234375
15295,0xa1,-0.8652777671813965,0.0,2888.9072265625,2063.669921875
15297,0xa1,-0.865277886390686,0.0,2896.427001953125,2063.47705078125
15299,0xa1,-0.865277886390686,0.0,2904.24755859375,2063.2744140625
15301,0xa1,-0.8652775883674622,0.0,2911.842529296875,2063.079833984375
15303,0xa1,-0.8652776479721069,0.0,2919.3603515625,2062.884765625
15305,0xa1,-0.8652776479721069,0.0,2927.105712890625,2062.686279296875
15307,0xa1,-0.8652774095535278,0.0,2934.70068359375,2062.489501953125
15309,0xa1,-0.8652774095535278,0.0,2942.370849609375,2062.292724609375
15311,0xa1,-0.8652771711349487,0.0,2949.9638671875,2062.095947265625
