i,rot,t,x,z
198,-3.5762795391747204e-07,0.0,9755.7578125,872.1499633789062
200,0.9999997615814209,0.0,9707.9716796875,872.1499633789062
201,0.7071068286895752,0.0,9715.7314453125,872.1499633789062
202,1.7881397695873602e-07,0.0,9769.611328125,872.1499633789062
203,1.7881397695873602e-07,0.0,9832.4951171875,872.1499633789062
204,1.7881397695873602e-07,0.0,9892.54296875,872.1499633789062
205,1.7881397695873602e-07,0.0,9955.515625,872.1499633789062
206,3.5786223406830686e-07,0.0,9955.515625,872.1499633789062
207,-3.5762795391747204e-07,0.0,9892.2314453125,872.1499633789062
208,-0.7071068286895752,0.0,9840.240234375,872.1499633789062
211,-0.7071067094802856,0.0,9821.44921875,872.1499633789062
212,-0.707106351852417,0.0,9863.9033203125,872.1499633789062
213,-0.707106351852417,0.0,9906.3583984375,872.1499633789062
214,-0.16944946348667145,0.0,9937.4638671875,872.1499633789062
218,-0.7071069478988647,0.0,9918.3720703125,872.1499633789062
220,-0.7071069478988647,0.0,9872.8505859375,872.1499633789062
221,-0.6563416123390198,0.0,9840.8974609375,872.1499633789062
222,-5.96046660916727e-08,0.0,9851.03125,872.1499633789062
223,-0.9888958930969238,0.0,9857.31640625,872.1499633789062
230,-0.9967090487480164,0.0,9858.8037109375,872.1499633789062
231,0.9999997615814209,0.0,9890.5048828125,872.1499633789062
234,0.7071067094802856,0.0,9857.3271484375,872.1499633789062
235,0.7071070075035095,0.0,9813.7119140625,872.1499633789062
237,0.7071065902709961,0.0,9791.791015625,872.1499633789062
238,1.0000003576278687,0.0,9810.4580078125,872.1499633789062
239,1.0000003576278687,0.0,9810.4580078125,872.1499633789062
240,-5.96046660916727e-08,0.0,9819.2802734375,872.1499633789062
241,-0.7071067094802856,0.0,9873.775390625,872.1499633789062
242,-0.707106351852417,0.0,9917.91796875,872.1499633789062
245,-0.9999997615814209,0.0,9936.7939453125,872.1499633789062
246,-1.0000003576278687,0.0,9936.7939453125,872.1499633789062
247,-1.0000003576278687,0.0,9936.7939453125,872.1499633789062
248,-0.9999997615814209,0.0,9938.7822265625,872.1499633789062
250,-3.5762795391747204e-07,0.0,9898.3486328125,872.1499633789062
255,-9.536746574667632e-07,0.0,9853.173828125,872.1499633789062
256,-0.9999997615814209,0.0,9853.173828125,872.1499633789062
257,-0.7753989696502686,0.0,9847.9794921875,872.1499633789062
259,-5.96046660916727e-08,0.0,9872.3330078125,872.1499633789062
260,1.7881397695873602e-07,0.0,9928.833984375,872.1499633789062
261,5.326319296727888e-07,0.0,9952.9228515625,872.1499633789062
262,-1.7881397695873602e-07,0.0,9916.9912109375,872.1499633789062
263,0.9935199618339539,0.0,9880.52734375,872.1499633789062
264,-5.96046660916727e-08,0.0,9905.8779296875,872.1499633789062
265,0.39096736907958984,0.0,9935.66015625,872.1499633789062
279,1.0000003576278687,0.0,9935.66015625,872.1499633789062
280,1.0000003576278687,0.0,9935.66015625,872.1499633789062
281,1.0000003576278687,0.0,9935.66015625,872.1499633789062
282,1.0000003576278687,0.0,9935.66015625,872.1499633789062
283,1.0000003576278687,0.0,9935.66015625,872.1499633789062
284,-3.5762795391747204e-07,0.0,9932.1767578125,872.1499633789062
285,-0.7071070671081543,0.0,9875.8173828125,872.1499633789062
286,-0.7071068286895752,0.0,9833.134765625,872.1499633789062
287,-0.7071068286895752,0.0,9788.966796875,872.1499633789062
288,-0.7071068286895752,0.0,9745.8818359375,872.1499633789062
289,-1.0000003576278687,0.0,9734.3671875,872.1499633789062
290,3.5762795391747204e-07,0.0,9745.80859375,872.1499633789062
291,1.7881397695873602e-07,0.0,9808.14453125,872.1499633789062
292,1.7881397695873602e-07,0.0,9869.11328125,872.1499633789062
293,4.203895392974451e-45,0.0,9872.060546875,872.1499633789062
294,0.7071070075035095,0.0,9812.548828125,872.1499633789062
295,0.7071061134338379,0.0,9767.47265625,872.1499633789062
296,0.707106351852417,0.0,9725.025390625,872.1499633789062
297,-1.7881397695873602e-07,0.0,9675.171875,872.1499633789062
298,0.28270772099494934,0.0,9672.2578125,872.1499633789062
299,6.556512630595535e-07,0.0,9732.2060546875,872.1499633789062
300,-0.7071067094802856,0.0,9786.0322265625,872.1499633789062
301,-0.707106351852417,0.0,9828.5185546875,872.1499633789062
302,-0.9999997615814209,0.0,9844.2021484375,872.1499633789062
303,-3.5762795391747204e-07,0.0,9841.16796875,872.1499633789062
304,-3.5762795391747204e-07,0.0,9781.1015625,872.1499633789062
305,-3.5762795391747204e-07,0.0,9718.1904296875,872.1499633789062
306,-7.152559078349441e-07,0.0,9706.171875,872.1499633789062
307,1.7881397695873602e-07,0.0,9754.1845703125,872.1499633789062
308,1.0000003576278687,0.0,9803.6337890625,872.1499633789062
309,0.5962423086166382,0.0,9803.640625,872.1499633789062
337,0.9999997615814209,0.0,9803.640625,872.1499633789062
338,1.0000003576278687,0.0,9803.640625,872.1499633789062
339,1.0000003576278687,0.0,9803.640625,872.1499633789062
340,1.0000003576278687,0.0,9803.640625,872.1499633789062
341,3.5762795391747204e-07,0.0,9838.052734375,872.1499633789062
342,-1.0000003576278687,0.0,9875.830078125,872.1499633789062
343,-3.5762795391747204e-07,0.0,9837.56640625,872.1499633789062
344,-0.7655669450759888,0.0,9831.693359375,872.1499633789062
352,0.7071065902709961,0.0,9871.8046875,872.1499633789062
353,4.203895392974451e-45,0.0,9912.0361328125,872.1499633789062
354,1.0000003576278687,0.0,9912.0361328125,872.1499633789062
355,0.9999997615814209,0.0,9912.0361328125,872.1499633789062
356,0.9999997615814209,0.0,9912.0361328125,872.1499633789062
357,0.9999997615814209,0.0,9912.0361328125,872.1499633789062
358,0.7071070075035095,0.0,9902.9677734375,872.1499633789062
359,0.7071070075035095,0.0,9860.04296875,872.1499633789062
360,0.7071070075035095,0.0,9817.484375,872.1499633789062
361,-1.7881397695873602e-07,0.0,9765.134765625,872.1499633789062
362,-0.7071065902709961,0.0,9707.4638671875,872.1499633789062
364,-0.7071067094802856,0.0,9693.7314453125,872.1499633789062
365,-0.707106351852417,0.0,9737.88671875,872.1499633789062
366,-0.707106351852417,0.0,9781.0595703125,872.1499633789062
367,-0.707106351852417,0.0,9824.6376953125,872.1499633789062
368,-0.707106351852417,0.0,9867.3154296875,872.1499633789062
369,-0.707106351852417,0.0,9911.6494140625,872.1499633789062
370,-0.707106351852417,0.0,9955.9912109375,872.1499633789062
371,-0.707106351852417,0.0,9998.654296875,872.1499633789062
372,1.7881397695873602e-07,0.0,10055.076171875,872.1499633789062
373,0.7071068286895752,0.0,10110.47265625,872.1499633789062
374,1.0000003576278687,0.0,10128.220703125,872.1499633789062
375,1.0000003576278687,0.0,10128.220703125,872.1499633789062
376,0.7071067094802856,0.0,10122.5244140625,872.1499633789062
377,0.707106351852417,0.0,10078.1953125,872.1499633789062
378,-3.5762795391747204e-07,0.0,10028.77734375,872.1499633789062
379,-3.5762795391747204e-07,0.0,9966.068359375,872.1499633789062
381,-0.7071068286895752,0.0,9906.1689453125,872.1499633789062
382,-0.7071068286895752,0.0,9863.576171875,872.1499633789062
383,-0.7071068286895752,0.0,9819.990234375,872.1499633789062
384,-0.7071068286895752,0.0,9776.380859375,872.1499633789062
385,-0.7071067094802856,0.0,9757.1220703125,872.1499633789062
386,-0.707106351852417,0.0,9801.2958984375,872.1499633789062
387,-1.0000003576278687,0.0,9842.1962890625,872.1499633789062
388,-0.7071069478988647,0.0,9834.4677734375,872.1499633789062
389,-3.5762795391747204e-07,0.0,9788.4453125,872.1499633789062
390,-3.5762795391747204e-07,0.0,9725.736328125,872.1499633789062
391,-0.7071067094802856,0.0,9679.02734375,872.1499633789062
392,-0.707106351852417,0.0,9671.1904296875,872.1499633789062
393,-0.707106351852417,0.0,9715.5244140625,872.1499633789062
394,-1.0000003576278687,0.0,9754.3642578125,872.1499633789062
395,-1.0000003576278687,0.0,9754.3857421875,872.1499633789062
396,-0.7071065902709961,0.0,9740.0361328125,872.1499633789062
397,-0.7071067094802856,0.0,9696.9912109375,872.1499633789062
398,-0.9999997615814209,0.0,9668.6904296875,872.1499633789062
399,-0.707106351852417,0.0,9699.7099609375,872.1499633789062
400,-0.707106351852417,0.0,9744.0439453125,887.6687622070312
401,-1.0000003576278687,0.0,9744.9013671875,893.2731323242188
402,-1.0000003576278687,0.0,9744.9013671875,872.1499633789062
